reg_no,image
CEG8022,"https://b2c-cdn.carsome.my/B2C/2a352a6a-6179-4e3f-be5e-281b812bc7ea.JPG"
WC7882E,"https://b2c-cdn.carsome.my/B2C/7a59bd2a-ccf2-45b6-9618-9bb37a454722.jpg"
VMS8614,"https://b2c-cdn.carsome.my/B2C/e4136ef0-1980-4350-bab7-98198393fb9d.jpg"
JSF238,"https://b2c-cdn.carsome.my/B2C/167e0b50-3899-4643-8331-1f844e1b131a.jpg"
JNS8898,"https://b2c-cdn.carsome.my/B2C/80e90dbf-36a5-42ad-bf50-346adc45e57b.jpg"
VBX2240,"https://b2c-cdn.carsome.my/B2C/759731dd-51e7-4d53-b898-fa81d8ac8c2e.jpg"
PPH6357,"https://b2c-cdn.carsome.my/B2C/1591b0be-fabd-4c4f-b50d-10c82816b81e.jpg"
VGD926,"https://b2c-cdn.carsome.my/B2C/1f8d2059-e37c-449f-8f13-15bf71ab83d4.jpg"
VFP2472,"https://b2c-cdn.carsome.my/B2C/4934c9be-a738-461b-b181-5071f0dac6ff.jpg"
VAF7918,"https://b2c-cdn.carsome.my/B2C/d7ef1308-2149-419d-8327-740dd51156e5.jpg"
VMU3601,"https://b2c-cdn.carsome.my/B2C/bef79c6f-1218-4450-abfa-9b21f9197cc2.jpg"
VFS6264,"https://b2c-cdn.carsome.my/B2C/e64df78f-b33f-42a3-9dc6-479467c9868e.jpg"
PNH9182,"https://b2c-cdn.carsome.my/B2C/752f6a76-e3af-463b-b799-9981e0155485.jpg"
PQV8363,"https://b2c-cdn.carsome.my/B2C/dc5390c9-cece-4325-a45d-230d2e5aaebd.jpg"
WVH9889,"https://b2c-cdn.carsome.my/B2C/2c97af94-a665-4845-802d-a1d4e8f66613.jpg"
TBX8756,"https://b2c-cdn.carsome.my/B2C/581063e4-5228-4b67-ae49-c6b5937850e2.jpg"
VAQ2807,"https://b2c-cdn.carsome.my/B2C/31cae541-f321-4b4a-8be5-1ddd474dcd2e.JPG"
WA528C,"https://b2c-cdn.carsome.my/B2C/9bd86a13-bd7e-4b6e-ad9f-125c3dccdca4.JPG"
AKR8917,"https://b2c-cdn.carsome.my/B2C/49d198d0-d9d8-471f-b5ec-520ed318cac8.jpg"
