id,brand,model,variant,cleaned,matched_candidate,score,reason
1041,ALFA-ROMEO,4C-SPIDER,20I COUPE,ALFAROMEO 4CSPIDER 20I COUPE,FIAT NO GROUP COUPE 20,55,no match at all
66663,ALFA-ROMEO,4C-SPIDER,30E SPORT,ALFAROMEO 4CSPIDER 30E SPORT,BMW NO GROUP GRAN COUPE M SPORT 15 218I,57,no match at all
460,ALFA-ROMEO,4C-SPIDER,30E SPORT,ALFAROMEO 4CSPIDER 30E SPORT,BMW NO GROUP GRAN COUPE M SPORT 15 218I,57,no match at all
25455,ALFA-ROMEO,4C-SPIDER,30E SPORT,ALFAROMEO 4CSPIDER 30E SPORT,BMW NO GROUP GRAN COUPE M SPORT 15 218I,57,no match at all
66675,ALFA-ROMEO,4C-SPIDER,30E SPORT,ALFAROMEO 4CSPIDER 30E SPORT,BMW NO GROUP GRAN COUPE M SPORT 15 218I,57,no match at all
66678,ALFA-ROMEO,8C-COMPETIZION,30CI (CBU),ALFAROMEO 8CCOMPETIZION 30CI CBU,BMW M M4 30 COMPETITION,61,no match at all
3760,ALFA-ROMEO,8C-COMPETIZION,40CI (CBU),ALFAROMEO 8CCOMPETIZION 40CI CBU,BMW M M3 40 COMPETITION,61,no match at all
3901,ALFA-ROMEO,8C-COMPETIZION,40CI (CBU),ALFAROMEO 8CCOMPETIZION 40CI CBU,BMW M M3 40 COMPETITION,61,no match at all
151,ALFA-ROMEO,33,40LI (CBU),ALFAROMEO 33 40LI CBU,ALFA ROMEO NO GROUP 146 20 TI TSPARK,52,no match at all
65481,ALFA-ROMEO,146,-,ALFAROMEO 146 ,ALFA ROMEO NO GROUP GIULIA SPRINT 16 GT1600,62,no match at all
139164,YANGTSE,WG6600CQ4,18 SEATER,YANGTSE WG6600CQ4 18 SEATER,HYUNDAI NO GROUP ELANTRA 18,48,no match at all
139165,YANGTSE,WG6600CQ4,18 SEATER,YANGTSE WG6600CQ4 18 SEATER,HYUNDAI NO GROUP ELANTRA 18,48,no match at all
