id,brand,model,variant,reason
42134,MERCEDES-BENZ,C-CLASS,C200,no candidate match
111261,TOYOTA,COROLLA ALTIS,G,low match score
110231,TOYOTA,VELLFIRE,Z,low match score
111244,TOYOTA,COROLLA CROSS,V,low match score
96785,BMW,X,X4,no candidate match
68166,BENTLEY,CONTINENTAL GT,V8,low match score
42232,MERCEDES-BENZ,GLC-CLASS,GLC250,no candidate match
111264,TOYOTA,SIENTA,V,low match score
60463,TOYOTA,AVANZA,S,low match score
42141,MERCEDES-BENZ,A-CLASS,A250,no candidate match
51594,TOYOTA,VIOS,E,low match score
57078,TOYOTA,AVANZA,G,low match score
96799,BMW,5 SERIES,520I,no candidate match
42151,MERCEDES-BENZ,E-CLASS,E300,no candidate match
101499,PERODUA,MYVI,SE,low match score
52700,TOYOTA,COROLLA ALTIS,E,low match score
60857,TOYOTA,COROLLA ALTIS,V,low match score
42163,MERCEDES-BENZ,C-CLASS,C300,no candidate match
37378,MERCEDES-BENZ,E-CLASS,E300,no candidate match
111309,TOYOTA,INNOVA,X,low match score
52997,TOYOTA,INNOVA,G,low match score
42165,MERCEDES-BENZ,CLA-CLASS,CLA180,no candidate match
55541,TOYOTA,VIOS,G,low match score
59725,TOYOTA,FORTUNER,VRZ,low match score
42170,MERCEDES-BENZ,S-CLASS,S400L,no candidate match
42173,MERCEDES-BENZ,C-CLASS,C200,no candidate match
42177,MERCEDES-BENZ,C-CLASS,C200,no candidate match
111315,TOYOTA,INNOVA,G,low match score
60486,TOYOTA,VIOS,J,low match score
59778,TOYOTA,FORTUNER,G,low match score
42181,MERCEDES-BENZ,A-CLASS,A250,no candidate match
59740,TOYOTA,RUSH,S,low match score
51203,TOYOTA,COROLLA CROSS,V,low match score
53593,TOYOTA,VIOS,G,low match score
59780,TOYOTA,AVANZA,G,low match score
42186,MERCEDES-BENZ,C-CLASS,C200,no candidate match
42198,MERCEDES-BENZ,E-CLASS,E300,no candidate match
88194,HONDA,WR-V,V,low match score
37100,MERCEDES-BENZ,A-CLASS,A35 AMG,no candidate match
9560,BMW,X,X4,no candidate match
52133,TOYOTA,INNOVA,G,low match score
113114,TOYOTA,VIOS,G,low match score
110233,TOYOTA,CAMRY,GX,low match score
44521,MERCEDES-BENZ,C-CLASS,C300,no candidate match
96092,BMW,X,X5,no candidate match
42204,MERCEDES-BENZ,GLA-CLASS,GLA45 AMG,no candidate match
53237,TOYOTA,RUSH,S,low match score
53859,TOYOTA,INNOVA,G,low match score
37104,MERCEDES-BENZ,C-CLASS,C200,no candidate match
102254,PERODUA,MYVI,X,low match score
57413,TOYOTA,WISH,,missing cleaned source data
42209,MERCEDES-BENZ,E-CLASS,E300,no candidate match
42224,MERCEDES-BENZ,CLA-CLASS,CLA200,no candidate match
56142,TOYOTA,RUSH,S,low match score
100284,MERCEDES-BENZ,A-CLASS,A35 AMG,no candidate match
61241,TOYOTA,VOXY,X,low match score
111370,TOYOTA,CAMRY,V,low match score
14175,HONDA,ACCORD,VTI-L,low match score
96838,BMW,7 SERIES,740LE,no candidate match
110237,TOYOTA,ALPHARD,G SA,low match score
111372,TOYOTA,CAMRY,V,low match score
52167,TOYOTA,SIENTA,V,low match score
37270,MERCEDES-BENZ,GLC-CLASS,GLC200,no candidate match
5941,BMW,X,X3,no candidate match
80070,SUBARU,XV,P,low match score
5921,BMW,5 SERIES,530E,no candidate match
5920,BMW,3 SERIES,330I,no candidate match
5914,BMW,X,X6,no candidate match
111299,TOYOTA,COROLLA ALTIS,G,low match score
5916,BMW,X,X4,no candidate match
53741,TOYOTA,CAMRY,E,low match score
61476,TOYOTA,CELICA,,missing cleaned source data
111475,TOYOTA,INNOVA,G,low match score
52169,TOYOTA,COROLLA ALTIS,E,low match score
52160,TOYOTA,86,GT,low match score
5915,BMW,X,X1,no candidate match
711,BMW,3 SERIES,330I,no candidate match
52173,TOYOTA,ALPHARD,G SA,low match score
59802,TOYOTA,SIENTA,V,low match score
111470,TOYOTA,RUSH,S,low match score
96869,BMW,3 SERIES,316I,no candidate match
111447,TOYOTA,LAND CRUISER,AX G,low match score
111489,TOYOTA,VELLFIRE,X,low match score
104784,PERODUA,MYVI,AV,low match score
52053,TOYOTA,ALPHARD,G SA,low match score
60174,TOYOTA,INNOVA,E,low match score
53795,TOYOTA,VIOS,G,low match score
4719,BMW,3 SERIES,330I,no candidate match
59808,TOYOTA,COROLLA ALTIS,G,low match score
111481,TOYOTA,YARIS,G,low match score
91010,MINI,COOPER,S,low match score
96885,BMW,3 SERIES,316I,no candidate match
101129,MERCEDES-BENZ,CLA-CLASS,CLA250,no candidate match
110252,TOYOTA,INNOVA,G,low match score
53494,TOYOTA,VIOS,G,low match score
104792,PERODUA,MYVI,AV,low match score
110251,TOYOTA,YARIS,E,low match score
114113,KIA,SPORTAGE,,missing cleaned source data
36592,MERCEDES-BENZ,E-CLASS,E300,no candidate match
51499,TOYOTA,FORTUNER,SRZ,low match score
104794,PERODUA,MYVI,SE,low match score
6035,BMW,X,X5,no candidate match
96882,BMW,5 SERIES,528I,no candidate match
91011,MINI,COOPER,S,low match score
33614,PROTON,SAGA,SV,low match score
61162,TOYOTA,86,,missing cleaned source data
110255,TOYOTA,CAMRY,G,low match score
52958,TOYOTA,LAND CRUISER,ZX,low match score
51538,TOYOTA,WISH,X,low match score
54059,TOYOTA,C-HR,,missing cleaned source data
9546,BMW,3 SERIES,330E,no candidate match
38481,MERCEDES-BENZ,A-CLASS,A45 AMG,no candidate match
4752,BMW,2 SERIES,218I,no candidate match
110257,TOYOTA,COROLLA ALTIS,E,low match score
111561,TOYOTA,VELOZ,,missing cleaned source data
56355,TOYOTA,COROLLA ALTIS,G,low match score
44738,MERCEDES-BENZ,GLC-CLASS,GLC200,no candidate match
53642,TOYOTA,COROLLA ALTIS,G,low match score
96897,BMW,X,X5,no candidate match
102262,PERODUA,MYVI,H,low match score
55763,TOYOTA,FORTUNER,V,low match score
68082,AUDI,RS3,,missing cleaned source data
5976,BMW,3 SERIES,330LI,no candidate match
59329,TOYOTA,INNOVA,G,low match score
110262,TOYOTA,VIOS,J,low match score
37563,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
111601,TOYOTA,CAMRY,G,low match score
5937,BMW,X,X5,no candidate match
110267,TOYOTA,VIOS,E,low match score
55264,TOYOTA,ALPHARD,,missing cleaned source data
5998,BMW,I,I4,no candidate match
91566,MITSUBISHI,XPANDER,,missing cleaned source data
5963,BMW,1 SERIES,118I,no candidate match
111667,TOYOTA,VELOZ,,missing cleaned source data
96914,BMW,5 SERIES,520I,no candidate match
59815,TOYOTA,AVANZA,S,low match score
51262,TOYOTA,YARIS,G,low match score
5982,BMW,3 SERIES,330E,no candidate match
5986,BMW,X,X3,no candidate match
51664,TOYOTA,INNOVA,G,low match score
111640,TOYOTA,VIOS,G,low match score
111643,TOYOTA,LAND CRUISER,ZX,low match score
62652,TOYOTA,VELLFIRE,Z,low match score
5985,BMW,X,X3,no candidate match
101135,MERCEDES-BENZ,B-CLASS,B200,no candidate match
102263,PERODUA,MYVI,AV,low match score
55699,TOYOTA,CAMRY,V,low match score
111726,TOYOTA,RUSH,S,low match score
113492,BENTLEY,FLYING SPUR,W12,low match score
6008,BMW,5 SERIES,530E,no candidate match
54969,TOYOTA,CAMRY,G X,low match score
85237,VOLVO,XC90,T8,low match score
5992,BMW,X,X2,no candidate match
56922,TOYOTA,VIOS,G,low match score
53483,TOYOTA,VELLFIRE,Z,low match score
60584,TOYOTA,INNOVA,G,low match score
111686,TOYOTA,COROLLA ALTIS,G,low match score
111688,TOYOTA,VIOS,G,low match score
58658,TOYOTA,WISH,,missing cleaned source data
5995,BMW,X,X7,no candidate match
6021,BMW,3 SERIES,320I,no candidate match
59822,TOYOTA,COROLLA CROSS,V,low match score
36664,MERCEDES-BENZ,E-CLASS,E300,no candidate match
17388,HONDA,CIVIC,EFI,low match score
111704,TOYOTA,COROLLA ALTIS,G,low match score
111723,TOYOTA,INNOVA,G,low match score
96939,BMW,1 SERIES,118I,no candidate match
59874,TOYOTA,ALPHARD,G X,low match score
91978,MITSUBISHI,FUSO,,missing cleaned source data
54713,TOYOTA,C-HR,GT,low match score
59859,TOYOTA,RUSH,S,low match score
6016,BMW,1 SERIES,118I,no candidate match
54764,TOYOTA,YARIS,E,low match score
96951,BMW,3 SERIES,328I,no candidate match
58626,TOYOTA,COROLLA ALTIS,E,low match score
96953,BMW,3 SERIES,330E,no candidate match
88802,PROTON,X50,TGDI FLAGSHIP,no candidate match
52701,TOYOTA,86,GT,low match score
36659,MERCEDES-BENZ,B-CLASS,B200,no candidate match
51526,TOYOTA,AVANZA,E,low match score
59418,TOYOTA,COROLLA ALTIS,G,low match score
56908,TOYOTA,COROLLA CROSS,V,low match score
6034,BMW,3 SERIES,318I,no candidate match
6056,BMW,3 SERIES,320I,no candidate match
111735,TOYOTA,AVANZA,G,low match score
48711,PERODUA,ALZA,SE,low match score
52313,TOYOTA,VIOS,G,low match score
59835,TOYOTA,INNOVA,G,low match score
64472,TOYOTA,VELLFIRE,Z,low match score
86386,BMW,3 SERIES,330I,no candidate match
38040,MERCEDES-BENZ,E-CLASS,E250,no candidate match
6063,BMW,I,I7,no candidate match
8340,BMW,X,X5,no candidate match
6065,BMW,X,X5,no candidate match
51730,TOYOTA,COROLLA ALTIS,G,low match score
86703,BMW,3 SERIES,316I,no candidate match
52239,TOYOTA,YARIS,E,low match score
111798,TOYOTA,86,GT,low match score
52210,TOYOTA,FORTUNER,SRZ,low match score
61874,TOYOTA,VIOS,G,low match score
81786,VOLKSWAGEN,POLO,,missing cleaned source data
18998,HONDA,HR-V,V,low match score
6049,BMW,X,X1,no candidate match
6079,BMW,I,IX1,no candidate match
111301,TOYOTA,ALPHARD,G S,low match score
54714,TOYOTA,YARIS,G,low match score
86423,BMW,M,M340I,no candidate match
86459,BMW,3 SERIES,320I,no candidate match
49806,PORSCHE,PANAMERA,,missing cleaned source data
54397,TOYOTA,ALPHARD,G,low match score
59542,TOYOTA,VIOS,G,low match score
6081,BMW,I,IX,no candidate match
6788,BMW,5 SERIES,530I,no candidate match
68372,BENTLEY,CONTINENTAL GT,V8,low match score
52642,TOYOTA,VIOS,J,low match score
86473,BMW,X,X1,no candidate match
